"TIME","GEO","INDIC_EM","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2009","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","2","b"
"2009","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","10.4","b"
"2009","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.6","b"
"2009","Latvia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","50",""
"2009","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","25.8",""
"2009","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.5",""
"2009","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","50",""
"2009","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.7",""
"2009","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3",""
"2009","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","3","b"
"2009","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.1","b"
"2009","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2","b"
"2009","Hungary","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","173",""
"2009","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","41.5",""
"2009","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.2",""
"2009","Malta","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5",""
"2009","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.0",""
"2009","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2009","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","74",""
"2009","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","24.4",""
"2009","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.8",""
"2009","Austria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","48",""
"2009","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","21.7",""
"2009","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2",""
"2009","Poland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","428",""
"2009","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","30.3",""
"2009","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.5",""
"2009","Portugal","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","228",""
"2009","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.0",""
"2009","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.2",""
"2009","Romania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","215",""
"2009","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","31.6",""
"2009","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.2",""
"2009","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","18",""
"2009","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","30.1",""
"2009","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.8",""
"2009","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","175",""
"2009","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","54.0",""
"2009","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.5",""
"2009","Finland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","37",""
"2009","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","16.7",""
"2009","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.4",""
"2009","Sweden","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","54",""
"2009","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","13.1",""
"2009","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.1",""
"2009","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","581",""
"2009","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","24.5",""
"2009","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.9",""
"2009","Iceland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1",""
"2009","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","5.8",""
"2009","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.4",""
"2009","Norway","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","13",""
"2009","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","15.8",""
"2009","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.5",""
"2009","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2009","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2009","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population",":",""
"2009","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","244",""
"2009","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","81.6",""
"2009","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","26.3",""
"2009","Turkey","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","694",""
"2009","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","22.7",""
"2009","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2010","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","9 043",""
"2010","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","39.8",""
"2010","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.8",""
"2010","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","8 918",""
"2010","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","39.6",""
"2010","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.8",""
"2010","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 081",""
"2010","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","39.5",""
"2010","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.7",""
"2010","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","6 709",""
"2010","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.2",""
"2010","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.3",""
"2010","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","6 596",""
"2010","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.2",""
"2010","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.2",""
"2010","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","6 503",""
"2010","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.1",""
"2010","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.2",""
"2010","Belgium","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","197",""
"2010","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","48.7",""
"2010","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.0",""
"2010","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","162","b"
"2010","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","46.1","b"
"2010","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.7","b"
"2010","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","157",""
"2010","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","40.9",""
"2010","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2010","Denmark","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","44",""
"2010","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","20.2",""
"2010","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.5",""
"2010","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 333","b"
"2010","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","46.8","b"
"2010","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3","b"
"2010","Estonia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","52",""
"2010","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","45.3",""
"2010","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","7.6",""
"2010","Ireland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","147",""
"2010","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","48.7",""
"2010","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.8",""
"2010","Greece","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","285",""
"2010","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.6",""
"2010","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","5.7",""
"2010","Spain","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 700",""
"2010","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","36.6",""
"2010","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","7.3",""
"2010","France","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2010","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2010","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.9","e"
"2010","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","989",""
"2010","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","39.5",""
"2010","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.5",""
"2010","Croatia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","125",""
"2010","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","56.3",""
"2010","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.6",""
"2010","Italy","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","987",""
"2010","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","48.0",""
"2010","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.0",""
"2010","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5",""
"2010","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","20.4",""
"2010","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.3",""
"2010","Latvia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","93",""
"2010","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","45.0",""
"2010","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.8",""
"2010","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","113",""
"2010","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","41.7",""
"2010","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","7.4",""
"2010","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","3",""
"2010","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","29.3",""
"2010","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.3",""
"2010","Hungary","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","230",""
"2010","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","49.0",""
"2010","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","5.5",""
"2010","Malta","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5",""
"2010","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.9",""
"2010","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.1",""
"2010","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","106","b"
"2010","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","27.1","b"
"2010","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2","b"
"2010","Austria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","52",""
"2010","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","25.4",""
"2010","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2",""
"2010","Poland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","513","b"
"2010","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","31.1","b"
"2010","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0","b"
"2010","Portugal","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","307",""
"2010","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","52.0",""
"2010","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","5.7",""
"2010","Romania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","225","b"
"2010","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","34.5","b"
"2010","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.4","b"
"2010","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","33",""
"2010","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","43.3",""
"2010","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.2",""
"2010","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","249",""
"2010","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","64.0",""
"2010","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","9.2",""
"2010","Finland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","53",""
"2010","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.8",""
"2010","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.0",""
"2010","Sweden","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","77",""
"2010","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","18.1",""
"2010","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6",""
"2010","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","800",""
"2010","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","32.5",""
"2010","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.5",""
"2010","Iceland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","2",""
"2010","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","17.4",""
"2010","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.3",""
"2010","Norway","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","18",""
"2010","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","20.0",""
"2010","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.7",""
"2010","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","71","b"
"2010","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","33.3","b"
"2010","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6","b"
"2010","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","250",""
"2010","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","83.1",""
"2010","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","26.6",""
"2010","Turkey","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","704",""
"2010","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","26.1",""
"2010","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.8",""
"2011","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","9 820",""
"2011","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.8",""
"2011","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.1",""
"2011","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","9 662",""
"2011","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.6",""
"2011","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.1",""
"2011","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 645",""
"2011","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.0",""
"2011","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.0",""
"2011","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 216",""
"2011","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","45.1",""
"2011","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.6",""
"2011","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 097",""
"2011","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","45.0",""
"2011","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.5",""
"2011","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 007",""
"2011","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.9",""
"2011","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.5",""
"2011","Belgium","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","167",""
"2011","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","48.3",""
"2011","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.5",""
"2011","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","210","b"
"2011","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","55.7","b"
"2011","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.3","b"
"2011","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","142","b"
"2011","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","40.6","b"
"2011","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.7","b"
"2011","Denmark","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","54",""
"2011","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","24.4",""
"2011","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.8",""
"2011","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 141","b"
"2011","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.6","b"
"2011","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.8","b"
"2011","Estonia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","49",""
"2011","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","57.3",""
"2011","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","7.1",""
"2011","Ireland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","186",""
"2011","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","58.6",""
"2011","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.6",""
"2011","Greece","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","435",""
"2011","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","49.3",""
"2011","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.8",""
"2011","Spain","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","2 085",""
"2011","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","41.6",""
"2011","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.9",""
"2011","France","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2011","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2011","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.0","e"
"2011","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 014",""
"2011","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","40.7",""
"2011","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.6",""
"2011","Croatia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","158",""
"2011","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","61.3",""
"2011","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.4",""
"2011","Italy","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 059",""
"2011","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","51.4",""
"2011","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.3",""
"2011","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7",""
"2011","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","20.8",""
"2011","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6",""
"2011","Latvia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","91",""
"2011","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","54.5",""
"2011","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.8",""
"2011","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","119",""
"2011","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","52.1",""
"2011","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","8.0",""
"2011","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","3",""
"2011","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","28.8",""
"2011","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.4",""
"2011","Hungary","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","222",""
"2011","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.6",""
"2011","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","5.2",""
"2011","Malta","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5",""
"2011","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.3",""
"2011","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2011","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","140","b"
"2011","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","32.3","b"
"2011","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6","b"
"2011","Austria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","51",""
"2011","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","26.3",""
"2011","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2",""
"2011","Poland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","617",""
"2011","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","37.2",""
"2011","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.6",""
"2011","Portugal","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","333","b"
"2011","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","48.4","b"
"2011","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.2","b"
"2011","Romania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","271",""
"2011","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","41.0",""
"2011","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2011","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","37",""
"2011","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.2",""
"2011","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.6",""
"2011","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","248","b"
"2011","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","67.9","b"
"2011","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","9.2","b"
"2011","Finland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","46",""
"2011","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","22.0",""
"2011","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.7",""
"2011","Sweden","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","74",""
"2011","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","19.0",""
"2011","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.5",""
"2011","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","856",""
"2011","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","33.4",""
"2011","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.7",""
"2011","Iceland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","3",""
"2011","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.8",""
"2011","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.7",""
"2011","Norway","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","19",""
"2011","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.0",""
"2011","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.7",""
"2011","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","72",""
"2011","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","36.4",""
"2011","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6",""
"2011","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","244",""
"2011","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","82.6",""
"2011","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","25.9",""
